run_id,seed,algorithm,controller_profile,uses_base_comparison,instance,n_hubs,n_clients,agents,iterations,best_fitness,gap_to_exact_optimum,exact_optimum,best_assignment,interventions,runtime_seconds,curve_path
27,1260,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.9654306000011275,tmlap_compare_simple\curves\base_convergence_run27.csv
28,1261,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.6499511000001803,tmlap_compare_simple\curves\base_convergence_run28.csv
29,1262,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,0,3.9948046000063187,tmlap_compare_simple\curves\base_convergence_run29.csv
30,1263,WO_base_tmlap,none,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,0,3.229735900007654,tmlap_compare_simple\curves\base_convergence_run30.csv
1,1234,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,28.09027369999967,tmlap_compare_simple\curves\shap_convergence_run1.csv
2,1235,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,26.46641370000725,tmlap_compare_simple\curves\shap_convergence_run2.csv
3,1236,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,26.341788200006704,tmlap_compare_simple\curves\shap_convergence_run3.csv
4,1237,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,24.759336200004327,tmlap_compare_simple\curves\shap_convergence_run4.csv
5,1238,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,6,28.718037300001015,tmlap_compare_simple\curves\shap_convergence_run5.csv
6,1239,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,27.86688960000174,tmlap_compare_simple\curves\shap_convergence_run6.csv
7,1240,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,26.157945500002825,tmlap_compare_simple\curves\shap_convergence_run7.csv
8,1241,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,27.44339050000417,tmlap_compare_simple\curves\shap_convergence_run8.csv
9,1242,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,6,27.500828999996884,tmlap_compare_simple\curves\shap_convergence_run9.csv
