run_id,seed,iteration,profile,target,method,n_coalitions,expected_value,predicted_value,dominant_feature,dominant_label,dominant_value,action,mode,fraction,feature_alpha,feature_beta,feature_danger_signal,feature_safety_signal,feature_diversity,feature_iteration,shap_alpha,shap_beta,shap_danger_signal,shap_safety_signal,shap_diversity,shap_iteration
4,1237,77,soft,stagnation_risk,exact_shapley_wo_simulation,64,91.0,89.0,danger_signal,Senal de peligro,-2.000000000000001,random_reinjection,random_aggressive,0.3,0.7433333333333334,0.919334075010081,0.1366965400642775,0.4784851212545571,0.007586392024683179,0.25666666666666665,0.0,0.0,-2.000000000000001,0.0,0.0,0.0
4,1237,113,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.6233333333333333,0.7744014530142785,0.7387491976957941,0.014947195045070694,0.008443700698301795,0.37666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
4,1237,149,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.5033333333333334,0.5083325618141192,0.6058637092958474,0.0012157844577288524,0.19958149858009042,0.49666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
4,1237,194,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.3533333333333334,0.18744979299574116,0.4565527399396183,0.27308462184922455,0.03641823179961769,0.6466666666666666,0.0,0.0,0.0,0.0,0.0,0.0
4,1237,231,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.22999999999999998,0.0629733560569965,0.4041386122657878,0.5012826672691504,0.007064033978659725,0.77,0.0,0.0,0.0,0.0,0.0,0.0
5,1238,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.14004737333559242,0.3766269694806871,0.22790564477672054,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
5,1238,77,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7433333333333334,0.919334075010081,0.6328424324433292,0.909421180400594,0.21556337114201193,0.25666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
5,1238,114,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.62,0.7685247834990176,0.3258667031257541,0.411015095189048,0.224447932738928,0.38,0.0,0.0,0.0,0.0,0.0,0.0
5,1238,151,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.4966666666666667,0.49166743818588066,0.3029515214029739,0.37347440755066275,0.12043771637860669,0.5033333333333333,0.0,0.0,0.0,0.0,0.0,0.0
5,1238,188,soft,stagnation_risk,exact_shapley_wo_simulation,64,89.0,89.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.3733333333333333,0.21982839774068252,0.46470024035964885,0.7771608715470815,0.021017180408686484,0.6266666666666667,0.0,0.0,0.0,0.0,0.0,0.0
