run_id,benchmark,benchmark_source,algorithm,gbest_mode,function,function_id,function_name,function_family,dim,agents,iterations,seed,initial_fitness,final_fitness,optimum,gap_to_optimum,best_position,curve_csv,status
2,cec2022,opfunu,WO_base,legacy,F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,10,30,500,2237,920.7674517340023,869.595063322804,800.0,69.59506332280398,-23.1594371444 -46.6313751865 -4.23628505466 -37.1650451618 -1.468486044 -15.9226005487 -7.48167042505 -6.05146064589 -6.15323802714 -29.7582087403,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F4_run2.csv,completed
2,cec2022,opfunu,WO_base,legacy,F5,5,Shifted and Rotated Levy Function,basic,10,30,500,2238,907.5532167836376,900.9959373391529,900.0,0.9959373391528743,-50.0328602359 -36.6282143975 24.7596968847 33.2333327999 -7.20691110856 21.8182900432 46.2857883301 13.8517860796 -77.2886015929 42.0428855497,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F5_run2.csv,completed
2,cec2022,opfunu,WO_base,legacy,F6,6,Hybrid Function 1,hybrid,10,30,500,2239,2641681253.770259,44086.00370201381,1800.0,42286.00370201381,16.8566965067 63.0968841416 -12.1554315729 -66.6122320789 27.9579753952 89.486582642 -65.1716438598 31.329901098 -62.3239881256 -99.9998054636,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F6_run2.csv,completed
2,cec2022,opfunu,WO_base,legacy,F7,7,Hybrid Function 2,hybrid,10,30,500,2240,2484.2152905500657,2062.0749293357103,2000.0,62.074929335710294,-68.4326821906 -53.6010658992 100 24.8381488156 42.7057873115 -53.3557462401 -12.0031585268 15.9752584354 92.9742983379 -23.3829625341,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F7_run2.csv,completed
2,cec2022,opfunu,WO_base,legacy,F8,8,Hybrid Function 3,hybrid,10,30,500,2241,75858892831593.12,2238.4625698385935,2200.0,38.46256983859348,-10.9150028584 -98.2743051115 46.8265540395 66.5228625028 54.7013109304 -35.1616599451 -3.5916129773 82.0021942229 39.4943434664 45.9545786473,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F8_run2.csv,completed
2,cec2022,opfunu,WO_base,legacy,F9,9,Composition Function 1,composition,10,30,500,2242,5556.8224218397,2684.2642194595305,2300.0,384.2642194595305,18.3746075402 -99.8600125379 -99.9227996454 -99.9976932678 -5.77286211156 100 100 -28.7311163676 -69.5998847308 33.899110455,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F9_run2.csv,completed
2,cec2022,opfunu,WO_base,legacy,F10,10,Composition Function 2,composition,10,30,500,2243,3669.5765940940446,2385.41575154501,2400.0,-14.584248454989847,-25.0897060037 -75.332344942 -10.4472812499 11.9635593174 -11.1758999851 -10.2786840958 21.0537265907 -15.1496653201 11.1224850838 0.378177205124,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F10_run2.csv,completed
2,cec2022,opfunu,WO_base,legacy,F11,11,Composition Function 3,composition,10,30,500,2244,5768.307996960582,2600.020689778403,2600.0,0.0206897784028115,49.1619934456 7.42606969855 -32.7539196901 4.96119490622 70.638940643 45.0136024984 29.4577486542 12.6601404124 16.7811319062 -56.3767301808,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F11_run2.csv,completed
2,cec2022,opfunu,WO_base,legacy,F12,12,Composition Function 4,composition,10,30,500,2245,4020.9615862061178,2862.389914724725,2700.0,162.3899147247248,-94.285213152 -81.2533542367 -100 -60.9061642134 99.5931968632 45.9194517382 98.9323166008 84.8547549491 -99.9922439334 100,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F12_run2.csv,completed
3,cec2022,opfunu,WO_base,legacy,F1,1,Shifted and full Rotated Zakharov Function,basic,10,30,500,3234,27959.64568565209,300.35346571762733,300.0,0.3534657176273299,-56.0185487295 4.21009468097 35.2360703451 8.01931596411 -47.4157457978 7.07032903081 6.56980213329 -2.41223952786 -60.9935939825 -46.9248987993,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F1_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F2,2,Shifted and Rotated Rosenbrock’s Function,basic,10,30,500,3235,5979.468461303003,407.4685723029944,400.0,7.468572302994403,79.2238832061 70.9383971473 -98.7169556723 98.2507427276 -19.725749824 -16.7993987995 94.4531708653 72.3635871241 -53.4950808328 54.3307117316,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F2_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,10,30,500,3236,600.6092126897582,600.000000753201,600.0,7.532009931310313e-07,79.1209950729 -24.5891628252 -34.6087413843 -44.6738843024 75.9732171548 16.396663138 -21.7174387048 5.6172058216 64.953959692 51.334198403,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F3_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,10,30,500,3237,1073.4171494313046,868.0,800.0,68.0,100 -9.31428468967 0.97996048747 -13.7784321552 12.7474862693 -0.706075606214 -5.69189063589 -3.72528481195 -16.5455161806 -23.1919554418,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F4_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F5,5,Shifted and Rotated Levy Function,basic,10,30,500,3238,909.1779811728737,900.0001503419686,900.0,0.0001503419686059715,-25.1066539806 1.00545969897 21.7417857566 52.0310364964 -18.2368331523 -12.5068584444 15.6265258416 -3.09383068029 -51.5841159865 41.8800450723,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F5_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F6,6,Hybrid Function 1,hybrid,10,30,500,3239,2172888764.076894,17083.86689764499,1800.0,15283.866897644992,93.1805137852 -18.81384766 1.30974884146 22.7093834532 -29.199308552 -9.52703155638 -63.0367204203 -75.4475500074 -60.2047594643 -92.0613698621,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F6_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F7,7,Hybrid Function 2,hybrid,10,30,500,3240,4166.1584087521915,2039.996511076632,2000.0,39.99651107663203,18.4172035603 -53.5640106706 -21.737590214 61.002959003 4.18699770314 -99.9440748172 -27.3537531423 15.9971468082 -52.2061317257 -9.03596647413,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F7_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F8,8,Hybrid Function 3,hybrid,10,30,500,3241,295280327372.9317,2264.502127530693,2200.0,64.50212753069309,0.765304254338 28.0003704264 1.67044163788 14.0703196924 51.0388312502 -16.6589505356 23.9264396058 7.62138573543 39.349942161 48.7604778911,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F8_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F9,9,Composition Function 1,composition,10,30,500,3242,3865.7670907626366,2662.773428462063,2300.0,362.77342846206284,69.370733054 -99.9996024587 -100 -65.8857351733 52.2901130425 87.0174029482 44.319364002 -60.2557816841 -66.1818933716 31.8997013069,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F9_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F10,10,Composition Function 2,composition,10,30,500,3243,3820.319601151638,2736.3296258436503,2400.0,336.3296258436503,-8.35783420216 5.33941044873 4.5193131005 59.2735787402 34.1101918535 -20.6888263231 23.8263177827 29.1119904515 4.18331341335 39.0981302637,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F10_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F11,11,Composition Function 3,composition,10,30,500,3244,3348.1485402873063,2600.126367547736,2600.0,0.1263675477362085,49.0753908682 7.44381885659 -32.761985061 4.84463266469 70.5416192949 44.9455319104 29.5157939552 12.6082096417 16.8893086044 -56.4105105125,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F11_run3.csv,completed
3,cec2022,opfunu,WO_base,legacy,F12,12,Composition Function 4,composition,10,30,500,3245,3591.7248895570374,2867.4525472166933,2700.0,167.45254721669335,-100 -85.6991957666 -91.8350862226 -57.6864580558 100 -22.3424565529 100 29.2552468257 -99.8119516685 100,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F12_run3.csv,completed
4,cec2022,opfunu,WO_base,legacy,F1,1,Shifted and full Rotated Zakharov Function,basic,10,30,500,4234,34297.061439201316,300.1125689590558,300.0,0.11256895905580677,-56.0160454068 4.77658772486 35.1679539065 8.38624985836 -47.4763440314 7.24786148285 6.46084874603 -2.60386802209 -61.0667099897 -47.1763319737,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F1_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F2,2,Shifted and Rotated Rosenbrock’s Function,basic,10,30,500,4235,8238.773657473732,408.92849479002075,400.0,8.92849479002075,27.0415498759 56.102468407 -100 100 46.7067409662 6.47687311193 84.7516213922 68.752456005 -28.4845699431 71.5723223434,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F2_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,10,30,500,4236,600.5599801307928,600.0000016968027,600.0,1.696802655715146e-06,79.0398376373 -24.6628278262 -34.5966076103 -44.6147922604 76.0231331384 16.3374490074 -21.7955021565 5.63116923182 65.0751796654 51.273440661,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F3_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,10,30,500,4237,1033.5,866.8915991807696,800.0,66.89159918076962,1.67504570463 24.875073746 24.875073746 2.46540103103 -2.68754767444 10.0917217287 -6.66749775308 -4.68897142251 1.45860307004 -6.47751935645,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F4_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F5,5,Shifted and Rotated Levy Function,basic,10,30,500,4238,906.4093439639618,900.1797854626988,900.0,0.17978546269876006,-8.52047775476 -5.96714082021 20.6443898499 61.2582280075 -31.4884551179 -14.6313716843 24.5691744605 13.0197747785 -51.6839111062 39.5284601624,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F5_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F6,6,Hybrid Function 1,hybrid,10,30,500,4239,4336713294.798771,35703.130702691924,1800.0,33903.130702691924,-86.8072162182 -31.8892364376 50.0780480456 2.3748496377 -89.1389518993 0.635592675588 -60.7978541637 -19.770822948 -57.9829255227 3.19849890241,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F6_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F7,7,Hybrid Function 2,hybrid,10,30,500,4240,8391.22875548659,2042.580256867752,2000.0,42.58025686775204,-33.735465896 -55.8905631089 -20.8437494839 -99.9420973609 -40.2557564134 -61.1813669211 99.1475670906 12.2003309562 35.1773740492 -22.5312839202,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F7_run4.csv,completed
