run_id,seed,algorithm,controller_profile,uses_base_comparison,instance,n_hubs,n_clients,agents,iterations,best_fitness,gap_to_exact_optimum,exact_optimum,best_assignment,interventions,runtime_seconds,curve_path
21,1254,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,273.0,,,3 2 3 1 1 1 3 4 0 1 6 4 6 0 2 6 3 2 2 0 4 0 4 6,0,8.17501639999682,tmlap_compare_dura\curves\base_convergence_run21.csv
22,1255,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,275.0,,,0 0 3 1 1 1 2 4 0 2 4 4 3 0 2 6 3 2 6 3 1 6 4 6,0,6.920133300009184,tmlap_compare_dura\curves\base_convergence_run22.csv
23,1256,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,276.0,,,0 0 3 1 1 1 2 4 0 2 4 1 3 0 2 6 3 2 6 3 4 6 4 6,0,10.53255899999931,tmlap_compare_dura\curves\base_convergence_run23.csv
24,1257,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,278.0,,,0 2 3 6 1 6 3 4 0 2 4 4 0 0 2 6 3 1 2 3 1 1 4 6,0,6.17855129999225,tmlap_compare_dura\curves\base_convergence_run24.csv
25,1258,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,293.0,,,0 0 3 1 1 1 2 1 0 2 4 4 6 0 2 6 3 2 7 7 4 7 4 6,0,4.771910399998887,tmlap_compare_dura\curves\base_convergence_run25.csv
26,1259,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,274.0,,,1 0 3 6 1 1 3 1 0 2 4 4 6 0 2 6 3 2 2 3 4 0 4 6,0,4.160478099991451,tmlap_compare_dura\curves\base_convergence_run26.csv
27,1260,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,277.0,,,0 2 3 1 1 0 2 4 0 1 4 1 3 0 2 6 3 2 6 3 4 6 4 6,0,5.457316400003037,tmlap_compare_dura\curves\base_convergence_run27.csv
28,1261,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,274.0,,,3 0 3 1 1 1 2 4 3 2 4 4 6 0 2 6 3 2 6 0 1 0 4 6,0,4.442560900002718,tmlap_compare_dura\curves\base_convergence_run28.csv
29,1262,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,278.0,,,0 0 3 3 1 1 2 4 0 1 4 1 3 0 2 6 3 2 2 6 4 6 4 6,0,5.065436299992143,tmlap_compare_dura\curves\base_convergence_run29.csv
30,1263,WO_base_tmlap,none,False,3.instancia_dura_8h_24c,8,24,30,300,278.0,,,0 0 3 6 1 1 3 1 0 2 6 4 0 1 2 6 3 2 2 3 4 4 4 6,0,6.1985952999966685,tmlap_compare_dura\curves\base_convergence_run30.csv
