run_id,seed,event_id,iteration,profile,reason,action,mode,fraction,selected_agents,n_selected_agents,improved_agents,before_best,after_best,delta_best,pre_fitness,post_iteration,post_status,post_fitness,post_delta_fitness,post_diversity,post_stagnation_length,accepted_intervention,acceptance_reason,adaptive_cooldown_until_iteration,adaptive_cooldown_reason,recent_improvement_ratio,uses_base_comparison,shap_target,shap_method,shap_predicted_stagnation_risk,shap_dominant_feature,shap_dominant_label,shap_dominant_value,alpha,beta,danger_signal,safety_signal,raw_diversity,diversity_norm,domain_scale,iteration_norm,stagnation_repeated_iterations,best_population_fitness,mean_population_fitness,worst_population_fitness,candidate_population_best,candidate_diversity,pre_diversity
2,1235,5,202,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,9 18 14 12 26 24 20 8 0,9,0,302.0,302.0,0.0,302.0,212,improved,277.0,25.0,7.376446624324216,7.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,298.0,alpha,Coef. exploracion (alpha),0.0,0.32666666666666666,0.15016170628984726,-0.20874282317557638,0.11313724039247186,4.176459517682269,0.12178803273466543,34.292856398964496,0.6733333333333333,98,302.0,308.23333333333335,330.0,302.0,6.7629719767216745,4.176459517682269
2,1235,6,238,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,4 11 28 17 25 24 18 26 19,9,0,298.0,298.0,0.0,298.0,248,improved,277.0,21.0,2.6503045988639227,43.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,298.0,beta,Coef. sigmoide (beta),0.49999999999999994,0.20666666666666667,0.05053016223541351,-0.19931075394411055,0.3063174185350964,7.4567919577772335,0.21744446922194555,34.292856398964496,0.7933333333333333,33,298.0,307.93333333333334,326.0,298.0,8.377899967873317,7.4567919577772335
3,1236,1,84,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,19 4 14 13 10 28 20 29 6,9,0,303.0,303.0,0.0,303.0,94,improved,281.0,22.0,6.121225908770644,36.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,298.0,safety_signal,Senal de seguridad,1.2499999999999998,0.72,0.9002495108803149,0.9110837704008357,0.4009020234220054,5.183403648630634,0.1511511198812576,34.292856398964496,0.28,26,303.0,311.03333333333336,328.0,303.0,7.279313069184201,5.183403648630634
3,1236,2,181,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,27 19 21 7 10 1 12 24 4,9,0,276.0,276.0,0.0,276.0,191,neutral,276.0,0.0,7.427074189444572,36.0,True,preserved_best_and_increased_diversity,218.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,276.0,safety_signal,Senal de seguridad,6.333333333333331,0.3966666666666666,0.26243837851237506,0.4145948232028347,0.7023870547121469,3.2758150574834133,0.09552470693524175,34.292856398964496,0.6033333333333334,26,276.0,295.43333333333334,327.0,276.0,5.683050603520479,3.2758150574834133
3,1236,3,218,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,4 11 25 18 16 17 23 24 19,9,0,298.0,298.0,0.0,298.0,228,improved,276.0,22.0,1.863477200971335,73.0,True,preserved_best_and_increased_diversity,218.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,298.0,iteration,Iteracion normalizada,3.0000000000000018,0.2733333333333333,0.09392149601927113,0.003344381099959935,0.21062851001167482,7.506922816665432,0.2189063147534164,34.292856398964496,0.7266666666666667,63,298.0,309.23333333333335,326.0,298.0,8.662707635888644,7.506922816665432
4,1237,1,40,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,29 28 27 26 25 24 23 22 21,9,0,302.0,302.0,0.0,302.0,50,improved,296.0,6.0,7.301507375763993,51.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,298.0,diversity,Diversidad poblacional,4.0,0.8666666666666667,0.975075573352886,0.15218808066176284,0.012810276632082673,0.08375401182404661,0.0024423165819040856,34.292856398964496,0.13333333333333333,41,302.0,302.0,302.0,302.0,6.018786744113823,0.08375401182404661
4,1237,2,76,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,14 19 28 9 6 29 2 16 4,9,0,300.0,300.0,0.0,300.0,86,improved,296.0,4.0,3.9724650957895085,87.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,298.0,alpha,Coef. exploracion (alpha),0.0,0.7466666666666666,0.921771740548216,-0.08555686408606106,0.17463904473311676,6.84477053353702,0.199597562066708,34.292856398964496,0.25333333333333335,77,300.0,321.1666666666667,343.0,300.0,8.132385575270698,6.84477053353702
4,1237,3,112,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,26 19 20 27 4 11 22 15 18,9,0,298.0,298.0,0.0,298.0,122,improved,296.0,2.0,7.035530096747068,123.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,298.0,danger_signal,Senal de peligro,0.3333333333333333,0.6266666666666667,0.7801716022593175,1.0555672125994147,0.28158007834154675,8.382532452918754,0.2444396102615667,34.292856398964496,0.37333333333333335,113,298.0,312.8,337.0,298.0,8.971419737090411,8.382532452918754
4,1237,4,148,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,21 26 22 23 4 11 15 19 28,9,0,298.0,298.0,0.0,298.0,158,improved,296.0,2.0,7.913370243140402,159.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,298.0,beta,Coef. sigmoide (beta),0.5,0.5066666666666666,0.5166604965694115,-0.46469730480613847,0.016988197638216573,8.301127187314023,0.24206578451028896,34.292856398964496,0.49333333333333335,149,298.0,312.73333333333335,341.0,298.0,8.946848920518908,8.301127187314023
4,1237,5,240,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,15 12 26 5 4 0 10 21 9,9,0,279.0,279.0,0.0,279.0,250,neutral,279.0,0.0,7.965652437544037,36.0,True,preserved_best_and_increased_diversity,277.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,279.0,diversity,Diversidad poblacional,-16.999999999999996,0.19999999999999996,0.047425873177566635,-0.06612101313312076,0.4332905936113606,1.7215123114567326,0.050200318440336025,34.292856398964496,0.8,26,279.0,287.93333333333334,328.0,279.0,5.4333391390823405,1.7215123114567326
