algorithm,runs,best,worst,mean,std,mean_gap_to_exact_optimum,std_gap_to_exact_optimum,mean_time_seconds,total_interventions,mean_interventions
WO_base_tmlap,30,151.0,151.0,151.0,0.0,0.0,0.0,4.977273869998559,0,0.0
WO_tmlap_online_shap,30,151.0,152.0,151.03333333333333,0.18257418583505536,0.03333333333333333,0.18257418583505533,42.07466493333292,180,6.0
