run_id,seed,event_id,iteration,profile,reason,action,mode,fraction,selected_agents,n_selected_agents,improved_agents,before_best,after_best,delta_best,pre_fitness,post_iteration,post_status,post_fitness,post_delta_fitness,post_diversity,post_stagnation_length,accepted_intervention,acceptance_reason,adaptive_cooldown_until_iteration,adaptive_cooldown_reason,recent_improvement_ratio,uses_base_comparison,shap_target,shap_method,shap_predicted_stagnation_risk,shap_dominant_feature,shap_dominant_label,shap_dominant_value,alpha,beta,danger_signal,safety_signal,raw_diversity,diversity_norm,domain_scale,iteration_norm,stagnation_repeated_iterations,best_population_fitness,mean_population_fitness,worst_population_fitness,candidate_population_best,candidate_diversity,pre_diversity
2,1235,5,184,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,24 17 18 25 16 23 7 0 1,9,0,158.0,158.0,0.0,158.0,194,improved,151.0,7.0,3.1043820334504812,195.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,152.0,iteration,Iteracion normalizada,0.3333333333333333,0.3866666666666667,0.24354647076959568,-0.6067769812077318,0.3971045584395604,3.113589262829166,0.22470394988004344,13.856406460551018,0.6133333333333333,185,158.0,176.66666666666666,195.0,158.0,3.2721782352336763,3.113589262829166
2,1235,6,220,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,29 28 27 26 25 24 23 22 21,9,0,151.0,151.0,0.0,151.0,230,neutral,151.0,0.0,0.05395143514677847,231.0,True,preserved_best_and_increased_diversity,257.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,151.0,beta,Coef. sigmoide (beta),0.33333333333333337,0.2666666666666667,0.08839967720705832,0.19857488825055603,0.19855885452930222,0.14456603793707565,0.010433155114831035,13.856406460551018,0.7333333333333333,221,151.0,151.7,172.0,151.0,2.205969369862046,0.14456603793707565
3,1236,1,40,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,16 22 15 21 8 0 7 1 24,9,0,156.0,156.0,0.0,156.0,50,improved,151.0,5.0,3.337284786815141,51.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,155.0,alpha,Coef. exploracion (alpha),0.0,0.8666666666666667,0.975075573352886,-0.10665155347524541,0.8221062836679109,3.2793161858969837,0.23666426033569007,13.856406460551018,0.13333333333333333,41,156.0,174.53333333333333,190.0,156.0,3.477113383382778,3.2793161858969837
3,1236,2,76,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,16 23 22 15 8 0 7 1 25,9,0,156.0,156.0,0.0,156.0,86,improved,151.0,5.0,1.2980829880115197,87.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,155.0,iteration,Iteracion normalizada,1.0000000000000004,0.7466666666666666,0.921771740548216,0.192475407497898,0.7745728036264512,3.2099204320688326,0.23165605319152754,13.856406460551018,0.25333333333333335,77,156.0,175.16666666666666,190.0,156.0,3.2834752065570005,3.2099204320688326
3,1236,3,112,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,29 28 27 26 25 24 23 22 21,9,0,171.0,166.0,-5.0,171.0,122,improved,151.0,20.0,3.398422492580445,123.0,True,improved_population_best,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,151.0,diversity,Diversidad poblacional,0.08333333333333334,0.6266666666666667,0.7801716022593175,-0.171687696389196,0.10968648150077098,0.05593869178372016,0.004037027344930793,13.856406460551018,0.37333333333333335,113,171.0,171.0,171.0,166.0,2.141286318332855,0.05593869178372016
3,1236,4,148,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,25 24 18 17 22 23 16 15 8,9,0,158.0,158.0,0.0,158.0,158,improved,151.0,7.0,3.2710438306894356,159.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,155.0,iteration,Iteracion normalizada,2.166666666666667,0.5066666666666666,0.5166604965694115,-0.780396545744788,0.2156368023698202,3.2401528573905676,0.23383789055374743,13.856406460551018,0.49333333333333335,149,158.0,175.4,195.0,158.0,3.7839861223673967,3.2401528573905676
3,1236,5,184,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,24 17 18 25 16 23 7 0 1,9,0,155.0,155.0,0.0,155.0,194,improved,151.0,4.0,3.0440786072306976,195.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,152.0,alpha,Coef. exploracion (alpha),0.5,0.3866666666666667,0.24354647076959568,0.35474229221635784,0.5315016636883148,3.169876399296695,0.2287661240539736,13.856406460551018,0.6133333333333333,185,155.0,176.26666666666668,195.0,155.0,3.5134473630777108,3.169876399296695
3,1236,6,220,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,17 29 27 26 25 28 24 23 21,9,0,151.0,151.0,0.0,151.0,230,neutral,151.0,0.0,0.3771234827015425,231.0,True,preserved_best_and_increased_diversity,257.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,151.0,alpha,Coef. exploracion (alpha),0.0,0.2666666666666667,0.08839967720705832,0.20664669842686453,0.9382792312265332,0.09398044825719978,0.006782454637481999,13.856406460551018,0.7333333333333333,221,151.0,151.76666666666668,174.0,151.0,2.2562871346054094,0.09398044825719978
4,1237,1,44,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,12 29 11 0 7 26 3 23 10,9,0,152.0,152.0,0.0,152.0,54,improved,151.0,1.0,2.4850580802691926,36.0,True,preserved_best_and_increased_diversity,,,0.0,False,stagnation_risk,exact_shapley_wo_simulation,152.0,alpha,Coef. exploracion (alpha),0.0,0.8533333333333333,0.9716214675798642,0.2048078517253763,0.7502480204687278,2.63057258867983,0.18984522402464385,13.856406460551018,0.14666666666666667,26,152.0,172.93333333333334,183.0,152.0,3.177364854496789,2.63057258867983
4,1237,2,80,soft,curve_stagnation_detected,random_reinjection,random_aggressive,0.3,25 23 17 15 5 8 1 7 4,9,0,151.0,151.0,0.0,151.0,90,neutral,151.0,0.0,1.557545639562505,72.0,True,preserved_best_and_increased_diversity,117.0,neutral,0.0,False,stagnation_risk,exact_shapley_wo_simulation,151.0,alpha,Coef. exploracion (alpha),0.0,0.7333333333333334,0.9116003227929416,-0.49861076504073465,0.8148345173368277,2.392652830815075,0.17267484449355047,13.856406460551018,0.26666666666666666,62,151.0,165.73333333333332,183.0,151.0,3.070514247006813,2.392652830815075
