run_id,seed,iteration,profile,target,method,n_coalitions,expected_value,predicted_value,dominant_feature,dominant_label,dominant_value,action,mode,fraction,feature_alpha,feature_beta,feature_danger_signal,feature_safety_signal,feature_diversity,feature_iteration,shap_alpha,shap_beta,shap_danger_signal,shap_safety_signal,shap_diversity,shap_iteration
1,1234,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,151.0,155.0,danger_signal,Senal de peligro,2.0000000000000004,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.8751805842287219,0.027178249738643134,0.003690368935953599,0.13333333333333333,0.0,0.0,2.0000000000000004,0.0,0.49999999999999994,1.5
1,1234,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,151.0,151.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.8727364990532691,0.7992812262073303,0.21233465999901796,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
1,1234,113,soft,stagnation_risk,exact_shapley_wo_simulation,64,152.0,156.0,iteration,Iteracion normalizada,3.0000000000000027,random_reinjection,random_aggressive,0.3,0.6233333333333333,0.7744014530142785,0.7331467378913586,0.6853014250311664,0.23967227704651142,0.37666666666666665,0.9999999999999999,0.0,0.0,0.0,0.0,3.0000000000000027
1,1234,149,soft,stagnation_risk,exact_shapley_wo_simulation,64,157.0,151.0,iteration,Iteracion normalizada,-6.000000000000002,random_reinjection,random_aggressive,0.3,0.5033333333333334,0.5083325618141192,0.3044040283108793,0.6103324132721877,0.233836358888884,0.49666666666666665,0.0,0.0,0.0,0.0,0.0,-6.000000000000002
1,1234,185,soft,stagnation_risk,exact_shapley_wo_simulation,64,151.0,151.0,iteration,Iteracion normalizada,0.8333333333333333,random_reinjection,random_aggressive,0.3,0.3833333333333333,0.2374580283439025,0.3164883378018504,0.46443384074532956,0.0037784491573443525,0.6166666666666667,0.0,0.0,-1.3333333333333333,5.551115123125783e-17,0.5,0.8333333333333333
1,1234,221,soft,stagnation_risk,exact_shapley_wo_simulation,64,152.0,154.0,iteration,Iteracion normalizada,1.3333333333333335,random_reinjection,random_aggressive,0.3,0.2633333333333333,0.08575010225449586,0.42405352916399885,0.22805605825582653,0.22628573809721586,0.7366666666666667,0.0,0.8333333333333333,0.0,-0.16666666666666666,0.0,1.3333333333333335
2,1235,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,155.0,155.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.10879154710352829,0.9822773782894985,0.23551883279191,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2,1235,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,151.0,152.0,diversity,Diversidad poblacional,0.49999999999999994,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.4745733799166689,0.09220903669167468,0.004021457020687062,0.25333333333333335,0.0,0.0,0.0,0.0,0.49999999999999994,0.49999999999999994
2,1235,112,soft,stagnation_risk,exact_shapley_wo_simulation,64,156.0,152.0,danger_signal,Senal de peligro,0.6666666666666666,random_reinjection,random_aggressive,0.3,0.6266666666666667,0.7801716022593175,0.18957028375537555,0.7141380693137916,0.23529672434019755,0.37333333333333335,0.0,-1.3333333333333333,0.6666666666666666,0.0,0.0,-3.333333333333333
2,1235,148,soft,stagnation_risk,exact_shapley_wo_simulation,64,155.0,151.0,iteration,Iteracion normalizada,-2.3333333333333326,random_reinjection,random_aggressive,0.3,0.5066666666666666,0.5166604965694115,0.2724811841668827,0.19133328879236555,0.23693038594618374,0.49333333333333335,0.0,0.0,-0.3333333333333333,-1.3333333333333337,0.0,-2.3333333333333326
