episode_id,start_iteration,end_iteration,duration,max_stagnation_length,selected_iteration,selected_for_shap
1,96,113,18,67,113,1
2,189,192,4,53,192,1
3,249,303,55,104,303,1
4,482,499,18,67,499,1
