event_id,phase,iteration,t_pre,t_post,event_active,shap_reason,selected_output,BASE_fitness,OUTPUT_fitness,OBSERVED_fitness,stagnation_state,action_taken,dominant_feature,SHAP_alpha,SHAP_beta,SHAP_danger_signal,SHAP_safety_signal,SHAP_diversity,SHAP_diversity_norm,SHAP_iteration
1,pre,106,106,116,1,pre_intervention,fitness,665.8086007642115,665.8086007642115,665.8086007642115,alta,partial_restart,beta,-0.03848744769598105,0.05131659692797474,0.05131659692797474,-0.03848744769598105,-0.03848744769598105,0.05131659692797474,-0.03848744769598105
1,post,116,106,116,0,post_intervention,fitness,665.8086007642115,665.8086007642115,665.8086007642115,alta,none,diversity_norm,0.582560930926393,0.11248710464182177,0.582560930926393,0.582560930926393,0.582560930926393,-3.025291759273787,0.582560930926393
2,pre,156,156,166,1,pre_intervention,fitness,665.8086007642115,665.8086007642115,665.8086007642115,alta,partial_restart,danger_signal,0.08354240313383668,0.08354240313383668,0.10249026534569854,-0.0626568023503775,-0.08160466456223936,-0.0626568023503775,-0.0626568023503775
2,post,166,156,166,0,post_intervention,fitness,663.1856645674721,663.1856645674721,663.1856645674721,no_stagnation,none,alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
