iteration,event_id,alpha,beta,danger_signal,safety_signal,diversity,diversity_norm,current_fitness,output_fitness,stagnation,stagnation_length,diagnosis,s_t,delta_fitness,threshold,stagnation_state,event_active,control_mode,action_taken,action_justification,alpha_scale,beta_scale,rescue_fraction,rescue_mode,rescued_agents,shap_requested,shap_reason,decision_shap_used,decision_dominant_feature,decision_harmful_feature,decision_harmful_value,decision_harmful_mass,decision_policy,dominant_feature,trace_role,effect_label,delta_fitness_post
0,0,1.0,0.9933071490757152,-0.8564893065953747,0.9867472153378646,174.64609947141872,0.9999999999994275,3790.113359247672,3790.113359247672,0,0,no_stagnation,0,inf,0.003790113359247672,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
1,0,0.998,0.9931728675778618,-1.632368002578181,0.8698557120089315,121.74672839484238,0.6971053391014715,3790.113359247672,3790.113359247672,0,1,no_stagnation,1,inf,0.003790113359247672,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
2,0,0.996,0.993035910822238,-1.3176502779817856,0.06317189225198372,121.74953494315648,0.6971214090184212,3790.113359247672,3790.113359247672,0,2,no_stagnation,2,inf,0.003790113359247672,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
3,0,0.994,0.9928962262756112,1.8723990909156893,0.7738609642776244,121.77419091838588,0.6972625858056728,3790.113359247672,3790.113359247672,0,3,no_stagnation,3,inf,0.003790113359247672,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
4,0,0.992,0.9927537604041685,-0.9281617277675741,0.13924933356879265,122.23515302801061,0.699901992646247,3790.113359247672,3790.113359247672,0,4,no_stagnation,4,inf,0.003790113359247672,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
5,0,0.99,0.992608458655718,0.9235013091602792,0.8678618227907717,121.23648255486002,0.6941837402708857,3203.6975430531606,3203.6975430531606,0,0,no_stagnation,0,inf,0.0032036975430531603,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
6,0,0.988,0.9924602654416266,0.251989236498182,0.5104200359089622,117.4851781630052,0.6727042774989926,3203.6975430531606,3203.6975430531606,0,1,no_stagnation,1,inf,0.0032036975430531603,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
7,0,0.986,0.9923091241184917,1.024519952477361,0.6365816372389018,119.39941153196992,0.6836649194758659,3203.6975430531606,3203.6975430531606,0,2,no_stagnation,2,inf,0.0032036975430531603,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
8,0,0.984,0.9921549769695444,0.003197090496352274,0.3442045909797272,177.96381097830957,1.018996768418134,3203.6975430531606,3203.6975430531606,0,3,no_stagnation,3,inf,0.0032036975430531603,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
9,0,0.982,0.9919977651857838,0.4245529741997748,0.5603004432554708,148.9257236012397,0.8527285983018849,3203.6975430531606,3203.6975430531606,0,4,no_stagnation,4,inf,0.0032036975430531603,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
10,0,0.98,0.9918374288468401,0.7585037714923082,0.6091624906715032,122.16490987796777,0.6994997898472415,3203.6975430531606,3203.6975430531606,0,5,no_stagnation,5,inf,0.0032036975430531603,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
11,0,0.978,0.9916739069015662,1.857603278876663,0.9360508381562557,118.2026807222687,0.6768126003383499,3203.6975430531606,3203.6975430531606,0,6,no_stagnation,6,inf,0.0032036975430531603,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
12,0,0.976,0.9915071371483557,-0.2507994851752832,0.42589045569193906,155.24983633347503,0.8889396144732862,3203.6975430531606,3203.6975430531606,0,7,no_stagnation,7,inf,0.0032036975430531603,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
13,0,0.974,0.9913370562151869,1.1453343047193612,0.9884131781620515,146.96897679810448,0.841524530137429,1258.2423157847877,1258.2423157847877,0,0,no_stagnation,0,inf,0.0012582423157847876,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
14,0,0.972,0.9911635995393923,-1.8367134106988898,0.9023638642666479,163.7876514031138,0.9378259915265059,1258.2423157847877,1258.2423157847877,0,1,no_stagnation,1,inf,0.0012582423157847876,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
15,0,0.97,0.9909867013471522,0.23504435866158008,0.07081920102934469,193.02387041386183,1.1052286366426418,1258.2423157847877,1258.2423157847877,0,2,no_stagnation,2,inf,0.0012582423157847876,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
16,0,0.968,0.9908062946327119,-1.276875866283448,0.6670449890421898,144.92414763671175,0.8298161142748337,1258.2423157847877,1258.2423157847877,0,3,no_stagnation,3,inf,0.0012582423157847876,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
17,0,0.966,0.9906223111373231,-0.13101145254796745,0.8808590783353354,144.0001729156053,0.8245255596967332,1258.2423157847877,1258.2423157847877,0,4,no_stagnation,4,inf,0.0012582423157847876,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
18,0,0.964,0.9904346813279084,-0.39238523933462544,0.8721084403161941,134.69878903553928,0.7712670906658637,1258.2423157847877,1258.2423157847877,0,5,no_stagnation,5,inf,0.0012582423157847876,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
