event_id,phase,iteration,t_pre,t_post,event_active,shap_reason,selected_output,BASE_fitness,OUTPUT_fitness,OBSERVED_fitness,stagnation_state,action_taken,dominant_feature,SHAP_alpha,SHAP_beta,SHAP_danger_signal,SHAP_safety_signal,SHAP_diversity,SHAP_diversity_norm,SHAP_iteration
1,pre,133,133,143,1,pre_intervention,fitness,1204.613897009849,1204.613897009849,1204.613897009849,alta,partial_restart,diversity,5.635681400883898,-2.405469432887103,9.018053782357077,4.5277852072223395,-26.281612484400178,3.2943058401567162,6.211255686667254
1,post,143,133,143,0,post_intervention,fitness,1169.8395366302125,1179.3523708823473,1179.3523708823473,no_stagnation,none,diversity,3.5860121546857737,-4.354868422429694,5.918798746801638,0.8802453367559868,6.390500147944302,-3.2988878277346765,0.3910341161114478
2,pre,202,202,212,1,pre_intervention,fitness,1179.3523708823473,1179.3523708823473,1179.3523708823473,baja,random_reinjection,alpha,-0.6933153619513849,0.27732614478055395,0.27732614478055395,0.27732614478055395,0.27732614478055395,0.27732614478055395,-0.6933153619513849
2,post,212,202,212,0,post_intervention,fitness,1145.2087451221914,1145.2087451221914,1145.2087451221914,no_stagnation,none,danger_signal,2.782932282603847,-2.0692020885927964,-4.018760234834112,2.9766747322627243,0.12121492678573023,2.064181139983685,-1.857040758209077
