function,function_id,best,worst,avg_mean,std,time_mean_seconds
F1,1,300.000198495713,300.0776253083342,300.0056341714774,0.01412617244418315,1.151602689998496
F2,2,400.0786982678293,493.3368674788149,421.3420089248027,26.853091068886776,1.4053663633327234
F3,3,600.0000000086314,600.0000002382708,600.0000000761416,6.291634189686833e-08,2.0509559799989803
F4,4,834.9759622904126,878.9537923035172,851.1066597534731,10.020479603847996,2.787996736666052
F5,5,900.0000262757857,901.364644980856,900.4215809575247,0.3653635488400373,1.546755360000922
F6,6,9219.405764752502,76689.07710010733,32322.434071782627,18155.947264622257,1.8888277900012327
F7,7,2021.038651052633,2126.431193325141,2039.160131753524,25.684973576350295,11.307817399999475
F8,8,2222.6657374254014,3113.866893349468,2392.117783582496,258.2882811418496,15.150580069999462
F9,9,2300.0267304016147,2764.93421630709,2594.128816186107,155.63480795929834,4.586604389998926
F10,10,2620.01589563264,2798.320194808394,2680.6090756541657,59.240690667356034,4.617588916666864
F11,11,2600.0068904418386,3477.075370042301,2629.262151220009,160.12636277833178,7.185629796666035
F12,12,2865.149748915167,2899.9908825673456,2868.090665011221,6.1169650363367545,8.023628483334324
