function,function_id,n,mean,std,shapiro_statistic,shapiro_p,normal_alpha_0_05
F1,1,30,0.005634171477449421,0.01412617244418506,0.37211374949933007,3.0101835513427015e-10,False
F2,2,30,21.34200892480272,26.853091068886773,0.6144922145459746,1.1018968718794994e-07,False
F3,3,30,7.614175956405234e-08,6.291634189676208e-08,0.84933015940135,0.0006003482104230684,False
F4,4,30,51.106659753473,10.020479603847996,0.9606771599793681,0.3223330668726312,True
F5,5,30,0.4215809575246946,0.36536354884004296,0.9070913358383517,0.012577027395635324,False
F6,6,30,30522.43407178263,18155.947264622257,0.9156666577558152,0.020735394436805915,False
F7,7,30,39.16013175352403,25.684973576350277,0.6341809247290957,1.9592396425246728e-07,False
F8,8,30,192.11778358249575,258.2882811418496,0.6689198828382243,5.677798503250568e-07,False
F9,9,30,294.1288161861074,155.6348079592983,0.6171093706642525,1.1882272821652066e-07,False
F10,10,30,280.60907565416585,59.24069066735602,0.7808066531935252,2.9871376868037458e-05,False
F11,11,30,29.262151220008793,160.1263627783318,0.1797435804024814,7.78369238107161e-12,False
F12,12,30,168.090665011221,6.116965036336763,0.32215134703530746,1.0891644236581318e-10,False
