function,function_id,function_name,function_family,runs,fitness_best,fitness_worst,fitness_mean,fitness_median,fitness_std,gap_best,gap_worst,gap_mean,gap_median,gap_std,time_mean_seconds
F1,1,Shifted and full Rotated Zakharov Function,basic,30,300.000198495713,300.0776253083342,300.0056341714774,300.001683362936,0.014126172444185058,0.0001984957129934628,0.07762530833417713,0.005634171477449475,0.0016833629359780389,0.01412617244418506,1.151602689998496
F2,2,Shifted and Rotated Rosenbrock’s Function,basic,30,400.0786982678293,493.33686747881484,421.3420089248027,408.91975895725085,26.853091068886773,0.07869826782928158,93.33686747881484,21.34200892480272,8.919758957250849,26.853091068886773,1.4053663633327234
F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,30,600.0000000086314,600.0000002382708,600.0000000761416,600.0000000616553,6.291634189686833e-08,8.631445780338254e-09,2.382707862125244e-07,7.614175956405234e-08,6.165527111079427e-08,6.291634189676208e-08,2.0509559799989803
F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,30,834.9759622904126,878.9537923035172,851.1066597534731,850.0012109406306,10.020479603847996,34.975962290412554,78.95379230351716,51.106659753473,50.001210940630585,10.020479603847996,2.787996736666052
F5,5,Shifted and Rotated Levy Function,basic,30,900.0000262757857,901.3646449808559,900.4215809575246,900.4547483386048,0.36536354884004296,2.6275785671714402e-05,1.3646449808559282,0.4215809575246946,0.45474833860475883,0.36536354884004296,1.546755360000922
F6,6,Hybrid Function 1,hybrid,30,9219.405764752502,76689.07710010733,32322.434071782627,28300.716474297802,18155.947264622257,7419.405764752502,74889.07710010733,30522.434071782627,26500.716474297802,18155.947264622257,1.8888277900012327
F7,7,Hybrid Function 2,hybrid,30,2021.038651052633,2126.431193325141,2039.160131753524,2030.1627266420192,25.684973576350277,21.038651052632986,126.43119332514107,39.16013175352403,30.16272664201915,25.684973576350277,11.307817399999475
F8,8,Hybrid Function 3,hybrid,30,2222.6657374254014,3113.8668933494682,2392.117783582496,2290.3366840264407,258.28828114184967,22.665737425401403,913.8668933494682,192.11778358249575,90.33668402644071,258.2882811418496,15.150580069999462
F9,9,Composition Function 1,composition,30,2300.0267304016147,2764.93421630709,2594.128816186107,2669.8892395014145,155.63480795929834,0.026730401614713628,464.9342163070901,294.1288161861074,369.8892395014145,155.6348079592983,4.586604389998926
F10,10,Composition Function 2,composition,30,2620.01589563264,2798.320194808394,2680.6090756541657,2672.980600900731,59.24069066735602,220.01589563263997,398.3201948083938,280.60907565416585,272.98060090073113,59.24069066735601,4.617588916666864
F11,11,Composition Function 3,composition,30,2600.0068904418386,3477.075370042301,2629.262151220009,2600.0163030323974,160.12636277833178,0.006890441838550032,877.0753700423011,29.262151220008793,0.016303032397672723,160.1263627783318,7.185629796666035
F12,12,Composition Function 4,composition,30,2865.149748915167,2899.9908825673456,2868.090665011221,2866.620811696561,6.116965036336758,165.14974891516704,199.99088256734558,168.090665011221,166.62081169656108,6.116965036336758,8.023628483334324
