run_id,benchmark,benchmark_source,algorithm,function,function_id,function_name,function_family,dim,agents,iterations,seed,elapsed_seconds,initial_fitness,final_fitness,optimum,gap_to_optimum,best_position,curve_csv,status
1,cec2022,opfunu,WO_base,F1,1,Shifted and full Rotated Zakharov Function,basic,10,30,500,1234,0.642083199985791,54074.821640245296,300.000198495713,300.0,0.0001984957129934628,-55.9419286724 4.55004797367 35.2999083538 8.27693546015 -47.4389724828 7.30082333015 6.39607013049 -2.50331014104 -61.0504941423 -47.1365209761,all_functions_outputs_30runs\values\conv_curve_F1_run1.csv,completed
1,cec2022,opfunu,WO_base,F2,2,Shifted and Rotated Rosenbrock’s Function,basic,10,30,500,1235,1.1226347000047099,2654.167373248045,471.89151284220645,400.0,71.89151284220645,61.4488343201 -73.6637639954 -73.0119170017 60.8779777987 -22.2539407215 -38.8264130612 26.9117781281 58.9039979084 -17.9452753589 79.5419774548,all_functions_outputs_30runs\values\conv_curve_F2_run1.csv,completed
1,cec2022,opfunu,WO_base,F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,10,30,500,1236,1.668205099995248,600.8874046236306,600.0000000829832,600.0,8.298320608446375e-08,79.0878792113 -24.57692993 -34.6835730729 -44.6844787199 75.9962389857 16.3688946046 -21.7182214561 5.67446425456 65.0056877066 51.2832125793,all_functions_outputs_30runs\values\conv_curve_F3_run1.csv,completed
1,cec2022,opfunu,WO_base,F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,10,30,500,1237,2.3806880000047386,982.0370642730759,878.9537923035172,800.0,78.95379230351716,28.4539417274 -43.6780972965 -17.6621721758 -14.0813039729 -40.4564157038 -83.0286057113 -25.1697997039 4.23978472062 9.47677668352 74.6499546538,all_functions_outputs_30runs\values\conv_curve_F4_run1.csv,completed
1,cec2022,opfunu,WO_base,F5,5,Shifted and Rotated Levy Function,basic,10,30,500,1238,1.2635907999938354,916.360308764608,900.4546646652849,900.0,0.4546646652848949,-29.6068470474 -11.754909039 7.53962155862 83.5074487641 3.02947123749 2.95834023038 14.5072324919 -3.3918552248 -26.4946525354 39.2403938533,all_functions_outputs_30runs\values\conv_curve_F5_run1.csv,completed
1,cec2022,opfunu,WO_base,F6,6,Hybrid Function 1,hybrid,10,30,500,1239,1.5946200000034878,1277492597.8154337,13488.45273461036,1800.0,11688.45273461036,-1.38124457369 53.9679551979 6.75897203487 -12.3382234417 -71.4843006531 -36.3052084428 -61.4561136947 -25.2605706578 -58.6379175581 -86.448719915,all_functions_outputs_30runs\values\conv_curve_F6_run1.csv,completed
1,cec2022,opfunu,WO_base,F7,7,Hybrid Function 2,hybrid,10,30,500,1240,8.50098889999208,11275.065914133384,2027.7941158564624,2000.0,27.79411585646244,-28.7882386665 -56.9561897001 -26.6697030364 -99.974297497 6.58130865661 -45.1141614862 85.7430438679 12.2715168093 -86.4112789953 -27.5117955153,all_functions_outputs_30runs\values\conv_curve_F7_run1.csv,completed
1,cec2022,opfunu,WO_base,F8,8,Hybrid Function 3,hybrid,10,30,500,1241,7.822403199999826,419821988737215.5,2240.6652739181636,2200.0,40.66527391816362,29.6936638891 54.1858700657 -86.7274798039 -28.1415793059 65.5805734582 98.3380860966 38.2873485011 -1.50810324851 38.4485852356 36.5254648799,all_functions_outputs_30runs\values\conv_curve_F8_run1.csv,completed
1,cec2022,opfunu,WO_base,F9,9,Composition Function 1,composition,10,30,500,1242,1.984626899997238,4439.483071332885,2705.6906252334197,2300.0,405.6906252334197,1.54301843481 -99.9822049171 -99.7314509684 -99.6196812033 -14.8616278457 99.4439268331 99.916452233 -22.6374882325 -67.9807099529 18.4816934348,all_functions_outputs_30runs\values\conv_curve_F9_run1.csv,completed
1,cec2022,opfunu,WO_base,F10,10,Composition Function 2,composition,10,30,500,1243,2.1853051999933086,4811.949008798885,2627.946055039442,2400.0,227.94605503944194,-46.7561625566 -29.1044870458 -58.4306327076 -49.9569393731 -36.2829999122 0.298807597691 40.5623190405 -9.09951728328 54.8379365538 28.6472712794,all_functions_outputs_30runs\values\conv_curve_F10_run1.csv,completed
